GD71_stisnic_003.ascii  CALSPEC Feb2010
CALSPEC Feb2010
4104
       1635.45   1.27510e-12
       1636.03   1.27020e-12
       1636.61   1.27130e-12
       1637.20   1.27130e-12
       1637.78   1.27800e-12
       1638.36   1.27350e-12
       1638.95   1.27370e-12
       1639.53   1.26780e-12
       1640.12   1.27320e-12
       1640.70   1.26420e-12
       1641.28   1.26870e-12
       1641.87   1.26950e-12
       1642.45   1.26420e-12
       1643.03   1.26150e-12
       1643.62   1.26950e-12
       1644.20   1.26220e-12
       1644.78   1.26820e-12
       1645.37   1.25280e-12
       1645.95   1.24690e-12
       1646.54   1.24810e-12
       1647.12   1.24880e-12
       1647.70   1.24500e-12
       1648.29   1.24070e-12
       1648.87   1.25430e-12
       1649.45   1.24560e-12
       1650.04   1.23690e-12
       1650.62   1.23490e-12
       1651.20   1.23490e-12
       1651.79   1.23410e-12
       1652.37   1.23870e-12
       1652.95   1.23990e-12
       1653.54   1.24070e-12
       1654.12   1.23420e-12
       1654.71   1.23790e-12
       1655.29   1.23160e-12
       1655.87   1.23060e-12
       1656.46   1.22900e-12
       1657.04   1.24060e-12
       1657.62   1.23250e-12
       1658.21   1.22280e-12
       1658.79   1.22490e-12
       1659.37   1.22310e-12
       1659.96   1.21810e-12
       1660.54   1.21830e-12
       1661.13   1.20810e-12
       1661.71   1.20640e-12
       1662.29   1.20890e-12
       1662.88   1.21260e-12
       1663.46   1.20600e-12
       1664.04   1.20270e-12
       1664.63   1.20870e-12
       1665.21   1.20320e-12
       1665.79   1.19170e-12
       1666.38   1.20450e-12
       1666.96   1.20420e-12
       1667.54   1.20530e-12
       1668.13   1.19860e-12
       1668.71   1.18940e-12
       1669.30   1.20320e-12
       1669.88   1.19380e-12
       1670.46   1.19440e-12
       1671.05   1.19700e-12
       1671.63   1.19550e-12
       1672.21   1.19100e-12
       1672.80   1.19120e-12
       1673.38   1.17990e-12
       1673.96   1.18040e-12
       1674.55   1.18700e-12
       1675.13   1.17610e-12
       1675.71   1.16970e-12
       1676.30   1.17160e-12
       1676.88   1.16440e-12
       1677.47   1.16850e-12
       1678.84   1.17780e-12
       1680.21   1.17690e-12
       1681.58   1.16910e-12
       1682.95   1.16740e-12
       1684.32   1.16160e-12
       1685.69   1.15550e-12
       1687.06   1.15150e-12
       1688.44   1.15290e-12
       1689.81   1.15170e-12
       1691.18   1.14940e-12
       1692.55   1.14010e-12
       1693.92   1.13390e-12
       1695.29   1.13640e-12
       1696.66   1.13250e-12
       1698.03   1.13220e-12
       1699.40   1.12650e-12
       1700.78   1.12630e-12
       1702.15   1.12310e-12
       1703.52   1.12040e-12
       1704.89   1.11970e-12
       1706.26   1.11370e-12
       1707.63   1.12080e-12
       1709.00   1.11280e-12
       1710.37   1.10320e-12
       1711.75   1.09920e-12
       1713.12   1.09780e-12
       1714.49   1.09590e-12
       1715.86   1.09520e-12
       1717.23   1.09290e-12
       1718.60   1.09140e-12
       1719.97   1.08480e-12
       1721.35   1.07870e-12
       1722.72   1.08180e-12
       1724.09   1.07680e-12
       1725.46   1.07100e-12
       1726.83   1.07000e-12
       1728.20   1.06570e-12
       1729.57   1.06370e-12
       1730.95   1.06410e-12
       1732.32   1.06190e-12
       1733.69   1.06000e-12
       1735.06   1.05690e-12
       1736.43   1.05210e-12
       1737.80   1.04720e-12
       1739.18   1.04290e-12
       1740.55   1.04240e-12
       1741.92   1.04420e-12
       1743.29   1.04100e-12
       1744.66   1.03220e-12
       1746.03   1.02970e-12
       1747.41   1.02490e-12
       1748.78   1.02290e-12
       1750.15   1.02770e-12
       1751.52   1.02580e-12
       1752.89   1.01940e-12
       1754.26   1.01330e-12
       1755.64   1.01220e-12
       1757.01   1.01460e-12
       1758.38   1.00440e-12
       1759.75   1.00520e-12
       1761.12   1.00400e-12
       1762.50   1.00100e-12
       1763.87   9.99100e-13
